 table_schema |     table_name     |     column_name      |          data_type          | is_nullable |  column_default   
 user_v2      | UploadHistory      | status               | text                        | NO          | 'COMPLETED'::text
 user_v2      | UploadHistory      | uploadedBy           | text                        | NO          | 
 user_v2      | UploadHistory      | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 user_v2      | _prisma_migrations | id                   | character varying           | NO          | 
 user_v2      | _prisma_migrations | checksum             | character varying           | NO          | 
 user_v2      | _prisma_migrations | finished_at          | timestamp with time zone    | YES         | 
 user_v2      | _prisma_migrations | migration_name       | character varying           | NO          | 
 user_v2      | _prisma_migrations | logs                 | text                        | YES         | 
 user_v2      | _prisma_migrations | rolled_back_at       | timestamp with time zone    | YES         | 
 user_v2      | _prisma_migrations | started_at           | timestamp with time zone    | NO          | now()
 user_v2      | _prisma_migrations | applied_steps_count  | integer                     | NO          | 0
(298 rows)

